School Year,Lesson Type,Enrolled Grade,Word Count
2019-2020,Benchmark - Baseline Writing,3,31.087719298245613
2019-2020,Benchmark - Baseline Writing,4,51.66075949367089
2019-2020,Benchmark - Baseline Writing,5,75.01277372262774
2019-2020,Benchmark - Baseline Writing,6,101.66744730679157
2019-2020,Benchmark - Baseline Writing,7,124.83333333333333
2019-2020,Benchmark - Baseline Writing,8,106.06410256410257
2019-2020,Benchmark - End-of-Year,5,151.58823529411765
2019-2020,Benchmark - Mid-Year,3,99.33333333333333
2019-2020,Benchmark - Mid-Year,4,113.00940438871473
2019-2020,Benchmark - Mid-Year,5,108.20748299319727
2019-2020,Benchmark - Mid-Year,6,216.97216274089936
2019-2020,Benchmark - Mid-Year,7,231.58588235294118
2019-2020,Benchmark - Mid-Year,8,212.59223300970874
2019-2020,Benchmark - Mid-Year,11,409.0
2020-2021,Benchmark - Baseline Writing,3,26.2
2020-2021,Benchmark - Baseline Writing,4,31.5
2020-2021,Benchmark - Baseline Writing,5,40.36434108527132
2020-2021,Benchmark - Baseline Writing,6,52.549586776859506
2020-2021,Benchmark - Baseline Writing,7,84.7978436657682
2020-2021,Benchmark - Baseline Writing,8,127.22359154929578
2020-2021,Benchmark - End-of-Year,3,41.0
2020-2021,Benchmark - End-of-Year,4,81.52631578947368
2020-2021,Benchmark - End-of-Year,5,98.54347826086956
2020-2021,Benchmark - End-of-Year,6,156.92142857142858
2020-2021,Benchmark - End-of-Year,7,205.284
2020-2021,Benchmark - End-of-Year,8,220.05070422535212
2020-2021,Benchmark - Mid-Year,3,67.5
2020-2021,Benchmark - Mid-Year,4,45.46296296296296
2020-2021,Benchmark - Mid-Year,5,71.58951965065502
2020-2021,Benchmark - Mid-Year,6,110.07843137254902
2020-2021,Benchmark - Mid-Year,7,146.26046511627908
2020-2021,Benchmark - Mid-Year,8,180.51546391752578
2021-2022,Benchmark - Baseline Writing,3,24.5
2021-2022,Benchmark - Baseline Writing,4,47.8988326848249
2021-2022,Benchmark - Baseline Writing,5,71.47145877378435
2021-2022,Benchmark - Baseline Writing,6,131.3179723502304
2021-2022,Benchmark - Baseline Writing,7,158.20253164556962
2021-2022,Benchmark - Baseline Writing,8,183.38041431261772
2021-2022,Benchmark - Mid-Year,3,71.75757575757575
2021-2022,Benchmark - Mid-Year,4,71.52507374631269
2021-2022,Benchmark - Mid-Year,5,114.77215189873418
2021-2022,Benchmark - Mid-Year,6,252.50872093023256
2021-2022,Benchmark - Mid-Year,7,270.42367601246104
2021-2022,Benchmark - Mid-Year,8,229.30563002680964
